timestamp,x,x1,y,y1,Arret,Arret suivant,Arret precedent,Délai réel,Prédiction RATP,Prédiction IA,bus_id,code_iti,geometry
2017-05-01 14:06:44,2.37097272885277,2.3721830198352643,48.84841849948681,48.84588367489985, ,GARE DE LYON-DIDEROT,LYON-LEDRU ROLLIN,30 s,0 s,51 s,B3001,ITI:55,"LINESTRING (2.37097272885277 48.84841849948681, 2.3715030753048 48.84727693595099, 2.37188384754169 48.84649491293288, 2.372183019835264 48.84588367489985)"
2017-05-01 14:07:14,2.3721830198352643,2.3721830198352643,48.84588367489985,48.84588367489985,GARE DE LYON-DIDEROT,GARE DE LYON VAN GOGH,LYON-LEDRU ROLLIN,103 s,1157 s,50 s,B3001,ITI:55,"LINESTRING (2.372183019835264 48.84588367489985, 2.372183019835264 48.84588367489985)"
2017-05-01 14:07:44,2.3721830198352643,2.3710933907376783,48.84588367489985,48.84550651396517, ,GARE DE LYON VAN GOGH,GARE DE LYON-DIDEROT,73 s,1109 s,50 s,B3001,ITI:55,"LINESTRING (2.372183019835264 48.84588367489985, 2.370984441556135 48.84548856984591, 2.371093390737678 48.84550651396517)"
2017-05-01 14:08:44,2.3710933907376783,2.3717737476871883,48.84550651396517,48.84475136722804, ,GARE DE LYON VAN GOGH,GARE DE LYON-DIDEROT,13 s,0 s,33 s,B3001,ITI:55,"LINESTRING (2.371093390737678 48.84550651396517, 2.371773747687188 48.84475136722804)"
2017-05-01 14:08:57,2.3717737476871883,2.3717737476871883,48.84475136722804,48.84475136722804,GARE DE LYON VAN GOGH,GARE DE LYON,GARE DE LYON-DIDEROT,117 s,75 s,86 s,B3001,ITI:55,"LINESTRING (2.371773747687188 48.84475136722804, 2.371773747687188 48.84475136722804)"
2017-05-01 14:09:44,2.3717737476871883,2.3736519335494166,48.84475136722804,48.84338470413349, ,GARE DE LYON,GARE DE LYON VAN GOGH,70 s,0 s,87 s,B3001,ITI:55,"LINESTRING (2.371773747687188 48.84475136722804, 2.371161482545752 48.84551548211076, 2.370984441556135 48.84548856984591, 2.372481501505332 48.84426583377471, 2.372481495402117 48.84425684625282, 2.372318020200553 48.84414904421246, 2.373651933549417 48.84338470413349)"
2017-05-01 14:10:44,2.3736519335494166,2.374591131679063,48.84338470413349,48.8428990866245, ,GARE DE LYON,GARE DE LYON VAN GOGH,10 s,858 s,22 s,B3001,ITI:55,"LINESTRING (2.373651933549417 48.84338470413349, 2.375816135836763 48.84225159361591, 2.376278962666144 48.84208067958808, 2.37637431733969 48.84213457353604, 2.376456042312959 48.84217049681524, 2.376510527958338 48.84219744148189, 2.376374419000316 48.8422693865854, 2.375925267479812 48.84252118434856, 2.374591131679063 48.8428990866245)"
2017-05-01 14:10:54,2.374591131679063,2.3786334619730995,48.8428990866245,48.84067782764447,GARE DE LYON,MINISTERE DE L'ECONOMIE ET DES FINANCES,GARE DE LYON,45 s,33 s,33 s,B3001,ITI:55,"LINESTRING (2.374591131679063 48.8428990866245, 2.375925267479812 48.84252118434856, 2.376360951715026 48.84246711683733, 2.376510527958338 48.84219744148189, 2.378075633618781 48.8412172730763, 2.377953025619335 48.84113642712941, 2.3786334619731 48.84067782764447)"
2017-05-01 14:11:39,2.3786334619730995,2.3786334619730995,48.84067782764447,48.84067782764447,MINISTERE DE L'ECONOMIE ET DES FINANCES,GARE DE BERCY,GARE DE LYON,91 s,30 s,61 s,B3001,ITI:55,"LINESTRING (2.3786334619731 48.84067782764447, 2.3786334619731 48.84067782764447)"
2017-05-01 14:11:44,2.3786334619730995,2.380416810813047,48.84067782764447,48.840272754721035, ,GARE DE BERCY,MINISTERE DE L'ECONOMIE ET DES FINANCES,86 s,0 s,61 s,B3001,ITI:55,"LINESTRING (2.3786334619731 48.84067782764447, 2.379545508723421 48.84040788066652, 2.380416810813047 48.84027275472103)"
2017-05-01 14:12:44,2.380416810813047,2.3822818728418715,48.840272754721035,48.83992154940874, ,GARE DE BERCY,MINISTERE DE L'ECONOMIE ET DES FINANCES,26 s,41 s,36 s,B3001,ITI:55,"LINESTRING (2.380416810813047 48.84027275472103, 2.381873470812123 48.8400025911501, 2.382281872841872 48.83992154940874)"
2017-05-01 14:13:10,2.3822818728418715,2.3822818728418715,48.83992154940874,48.83992154940874,GARE DE BERCY,DUGOMMIER,MINISTERE DE L'ECONOMIE ET DES FINANCES,74 s,51 s,51 s,B3001,ITI:55,"LINESTRING (2.382281872841872 48.83992154940874, 2.382281872841872 48.83992154940874)"
2017-05-01 14:13:44,2.3822818728418715,2.3889110188542486,48.83992154940874,48.8382022335429, ,DUGOMMIER,GARE DE BERCY,40 s,32 s,51 s,B3001,ITI:55,"LINESTRING (2.382281872841872 48.83992154940874, 2.382976171581904 48.83980444659504, 2.38548108236357 48.83939901824952, 2.386474866390517 48.83923683549681, 2.387155513704719 48.83910173876005, 2.388108422799164 48.83892158432702, 2.388911018854249 48.8382022335429)"
2017-05-01 14:14:24,2.3889110188542486,2.3889110188542486,48.8382022335429,48.8382022335429,DUGOMMIER,CHARENTON-WATTIGNIES,GARE DE BERCY,63 s,18 s,59 s,B3001,ITI:55,"LINESTRING (2.388911018854249 48.8382022335429, 2.388911018854249 48.8382022335429)"
2017-05-01 14:14:44,2.3889110188542486,2.3912111298272696,48.8382022335429,48.83736536923275, ,CHARENTON-WATTIGNIES,DUGOMMIER,43 s,0 s,59 s,B3001,ITI:55,"LINESTRING (2.388911018854249 48.8382022335429, 2.390162486994041 48.83708722498476, 2.39121112982727 48.83736536923275)"
2017-05-01 14:15:27,2.3912111298272696,2.3912111298272696,48.83736536923275,48.83736536923275,CHARENTON-WATTIGNIES,NICOLAI,DUGOMMIER,48 s,75 s,55 s,B3001,ITI:55,"LINESTRING (2.39121112982727 48.83736536923275, 2.39121112982727 48.83736536923275)"
2017-05-01 14:15:44,2.3912111298272696,2.3933594888836347,48.83736536923275,48.834757976748456, ,NICOLAI,CHARENTON-WATTIGNIES,31 s,39 s,55 s,B3001,ITI:55,"LINESTRING (2.39121112982727 48.83736536923275, 2.391442313425168 48.83710462454052, 2.391523909293403 48.83701471160494, 2.391619072724222 48.83687985452102, 2.392162803992767 48.83606173509335, 2.393359488883635 48.83475797674846)"
2017-05-01 14:16:15,2.3933594888836347,2.3933594888836347,48.834757976748456,48.834757976748456,NICOLAI,CHARENTON-JARDINIERS,CHARENTON-WATTIGNIES,48 s,2 s,33 s,B3001,ITI:55,"LINESTRING (2.393359488883635 48.83475797674846, 2.393359488883635 48.83475797674846)"
2017-05-01 14:16:44,2.3933594888836347,2.395549654460225,48.834757976748456,48.833202069736785, ,CHARENTON-JARDINIERS,NICOLAI,19 s,0 s,33 s,B3001,ITI:55,"LINESTRING (2.393359488883635 48.83475797674846, 2.395549654460225 48.83320206973679)"
2017-05-01 14:17:03,2.395549654460225,2.395549654460225,48.833202069736785,48.833202069736785,CHARENTON-JARDINIERS,PORTE DE CHARENTON,NICOLAI,158 s,0 s,68 s,B3001,ITI:55,"LINESTRING (2.395549654460225 48.83320206973679, 2.395549654460225 48.83320206973679)"
2017-05-01 14:17:44,2.395549654460225,2.396896433912916,48.833202069736785,48.832329604619176, ,PORTE DE CHARENTON,CHARENTON-JARDINIERS,117 s,55 s,68 s,B3001,ITI:55,"LINESTRING (2.395549654460225 48.83320206973679, 2.396896433912916 48.83232960461918)"
